Season,Location,Round/Stage,Obstacle Name,Obstacle Order,Unnamed: 5,Unnamed: 6
8.0,Atlanta,Qualifying (Regional/City),Floating Steps,1.0,,
8.0,Atlanta,Qualifying (Regional/City),Big Dipper,2.0,,
8.0,Atlanta,Qualifying (Regional/City),Block Run,3.0,,
8.0,Atlanta,Qualifying (Regional/City),Spin Cycle,4.0,,
8.0,Atlanta,Qualifying (Regional/City),Pipe Fitter,5.0,,
8.0,Atlanta,Qualifying (Regional/City),Warped Wall,6.0,,
8.0,Atlanta,Finals (Regional/City),Floating Steps,1.0,,
8.0,Atlanta,Finals (Regional/City),Big Dipper,2.0,,
8.0,Atlanta,Finals (Regional/City),Block Run,3.0,,
8.0,Atlanta,Finals (Regional/City),Spin Cycle,4.0,,
8.0,Atlanta,Finals (Regional/City),Pipe Fitter,5.0,,
8.0,Atlanta,Finals (Regional/City),Warped Wall,6.0,,
8.0,Atlanta,Finals (Regional/City),Salmon Ladder,7.0,,
8.0,Atlanta,Finals (Regional/City),Floating Monkey Bars,8.0,,
8.0,Atlanta,Finals (Regional/City),The Clacker,9.0,,
8.0,Atlanta,Finals (Regional/City),Invisible Ladder,10.0,,
